week_start,actual,predicted,predicted_p05,predicted_p95,in_holdout_backtest,backtest_predicted
2023-01-02,2816750.01,2849616.706679145,2734086.8531328244,2961582.2159709274,False,2853595.367608682
2023-01-09,2763190.55,2716425.038908124,2632595.534147005,2806301.196503628,False,2706120.8335595196
2023-01-16,2753421.81,2694285.4092387017,2629832.903397994,2761810.5010812865,False,2685971.0872444683
2023-01-23,2710360.0999999996,2758913.6699974257,2689594.3086273503,2822804.9831544454,False,2747663.331697296
2023-01-30,3005354.29,3006038.6987477755,2923861.1067423467,3080136.017561201,False,3036657.496993412
2023-02-06,3155700.37,2982339.2373639774,2912761.839531012,3046819.682444292,False,2978042.5457971785
2023-02-13,3082573.86,3229022.0295350533,3160518.9660296454,3297311.904556823,False,3210883.877256489
2023-02-20,2732437.99,2723197.3940688632,2654818.4484726875,2798021.8357456983,False,2706062.5775839943
2023-02-27,2825864.05,2825734.7889337903,2765670.0606953646,2895709.548120201,False,2818319.9599949373
2023-03-06,2726580.71,2731420.178906637,2671416.983234902,2793283.5098172487,False,2730010.3116552816
2023-03-13,2611761.59,2609715.754559741,2525248.626927346,2701498.1994181755,False,2626345.8586999043
2023-03-20,2771143.95,2819235.2015687255,2757189.527100879,2887901.1138006197,False,2806860.12933802
2023-03-27,2851752.06,2852078.284775712,2792966.1962160957,2920106.072293481,False,2835529.829450009
2023-04-03,2828648.2800000003,2853530.2678685295,2783498.1161214737,2923288.16975177,False,2846147.2368415203
2023-04-10,2888851.09,2857168.7223441615,2790531.1318105916,2921860.8734885394,False,2848055.8180630207
2023-04-17,2870437.91,2791840.7882940685,2729125.5627623047,2853194.9748643218,False,2775956.6983809704
2023-04-24,2885907.1399999997,2796951.582012866,2734925.123930967,2858435.3417513487,False,2784562.5385082476
2023-05-01,2622495.49,2771716.6832507467,2707508.3134756503,2837545.8322933167,False,2772328.8014731305
2023-05-08,3214117.95,3219840.9039231543,3148119.5186024266,3288453.528522342,False,3223244.933906785
2023-05-15,3048039.0300000003,3057650.2612367934,2995258.510406847,3124407.3009227403,False,3077894.8795537143
2023-05-22,2909342.67,2994793.077979367,2929574.0424191593,3061755.9756828775,False,2996542.2011141516
